Feature ranking:
1. PubchemFP19 (0.013028)
2. PubchemFP420 (0.009978)
3. PubchemFP18 (0.009908)
4. PubchemFP20 (0.009592)
5. PubchemFP443 (0.008650)
6. PubchemFP335 (0.007748)
7. PubchemFP582 (0.007207)
8. PubchemFP308 (0.007058)
9. PubchemFP16 (0.007011)
10. PubchemFP451 (0.006886)
11. PubchemFP12 (0.006738)
12. PubchemFP2 (0.006659)
13. PubchemFP406 (0.006452)
14. PubchemFP643 (0.006310)
15. PubchemFP535 (0.006250)
16. PubchemFP286 (0.005988)
17. PubchemFP299 (0.005967)
18. PubchemFP185 (0.005958)
19. PubchemFP374 (0.005893)
20. PubchemFP679 (0.005871)
21. PubchemFP393 (0.005799)
22. PubchemFP696 (0.005755)
23. PubchemFP346 (0.005748)
24. PubchemFP708 (0.005616)
25. PubchemFP440 (0.005572)
26. PubchemFP579 (0.005478)
27. PubchemFP617 (0.005186)
28. PubchemFP560 (0.005157)
29. PubchemFP528 (0.005039)
30. PubchemFP452 (0.004997)
31. PubchemFP392 (0.004950)
32. PubchemFP186 (0.004930)
33. PubchemFP352 (0.004862)
34. PubchemFP439 (0.004850)
35. PubchemFP333 (0.004834)
36. PubchemFP697 (0.004823)
37. PubchemFP380 (0.004769)
38. PubchemFP457 (0.004715)
39. PubchemFP391 (0.004669)
40. PubchemFP414 (0.004661)
41. PubchemFP192 (0.004657)
42. PubchemFP654 (0.004640)
43. PubchemFP180 (0.004605)
44. PubchemFP339 (0.004524)
45. PubchemFP181 (0.004520)
46. PubchemFP143 (0.004425)
47. PubchemFP516 (0.004422)
48. PubchemFP797 (0.004410)
49. PubchemFP645 (0.004397)
50. PubchemFP614 (0.004388)
51. PubchemFP734 (0.004364)
52. PubchemFP341 (0.004353)
53. PubchemFP338 (0.004178)
54. PubchemFP375 (0.004135)
55. PubchemFP553 (0.004092)
56. PubchemFP405 (0.004005)
57. PubchemFP342 (0.003976)
58. PubchemFP368 (0.003943)
59. PubchemFP199 (0.003919)
60. PubchemFP385 (0.003792)
61. PubchemFP257 (0.003773)
62. PubchemFP287 (0.003756)
63. PubchemFP684 (0.003753)
64. PubchemFP345 (0.003750)
65. PubchemFP179 (0.003738)
66. PubchemFP15 (0.003718)
67. PubchemFP23 (0.003703)
68. PubchemFP366 (0.003669)
69. PubchemFP540 (0.003566)
70. PubchemFP37 (0.003544)
71. PubchemFP688 (0.003544)
72. PubchemFP294 (0.003534)
73. PubchemFP1 (0.003513)
74. PubchemFP193 (0.003510)
75. PubchemFP646 (0.003494)
76. PubchemFP39 (0.003442)
77. PubchemFP671 (0.003440)
78. PubchemFP550 (0.003398)
79. PubchemFP593 (0.003355)
80. PubchemFP636 (0.003314)
81. PubchemFP800 (0.003302)
82. PubchemFP639 (0.003291)
83. PubchemFP334 (0.003212)
84. PubchemFP24 (0.003207)
85. PubchemFP709 (0.003198)
86. PubchemFP571 (0.003115)
87. PubchemFP798 (0.003073)
88. PubchemFP712 (0.003040)
89. PubchemFP10 (0.003033)
90. PubchemFP3 (0.003026)
91. PubchemFP206 (0.003026)
92. PubchemFP566 (0.003023)
93. PubchemFP447 (0.003011)
94. PubchemFP554 (0.002955)
95. PubchemFP365 (0.002950)
96. PubchemFP659 (0.002943)
97. PubchemFP146 (0.002932)
98. PubchemFP33 (0.002928)
99. PubchemFP502 (0.002903)
100. PubchemFP332 (0.002896)
101. PubchemFP188 (0.002857)
102. PubchemFP418 (0.002828)
103. PubchemFP818 (0.002806)
104. PubchemFP690 (0.002792)
105. PubchemFP711 (0.002788)
106. PubchemFP702 (0.002728)
107. PubchemFP459 (0.002726)
108. PubchemFP465 (0.002674)
109. PubchemFP680 (0.002669)
110. PubchemFP735 (0.002646)
111. PubchemFP569 (0.002633)
112. PubchemFP546 (0.002619)
113. PubchemFP611 (0.002612)
114. PubchemFP327 (0.002609)
115. PubchemFP297 (0.002609)
116. PubchemFP591 (0.002606)
117. PubchemFP43 (0.002596)
118. PubchemFP328 (0.002578)
119. PubchemFP777 (0.002567)
120. PubchemFP710 (0.002552)
121. PubchemFP779 (0.002544)
122. PubchemFP464 (0.002510)
123. PubchemFP656 (0.002505)
124. PubchemFP737 (0.002492)
125. PubchemFP673 (0.002465)
126. PubchemFP145 (0.002453)
127. PubchemFP700 (0.002450)
128. PubchemFP699 (0.002448)
129. PubchemFP701 (0.002441)
130. PubchemFP674 (0.002439)
131. PubchemFP361 (0.002438)
132. PubchemFP692 (0.002429)
133. PubchemFP184 (0.002427)
134. PubchemFP698 (0.002405)
135. PubchemFP776 (0.002395)
136. PubchemFP373 (0.002359)
137. PubchemFP349 (0.002352)
138. PubchemFP337 (0.002351)
139. PubchemFP453 (0.002342)
140. PubchemFP363 (0.002341)
141. PubchemFP501 (0.002340)
142. PubchemFP293 (0.002339)
143. PubchemFP362 (0.002337)
144. PubchemFP691 (0.002336)
145. PubchemFP704 (0.002335)
146. PubchemFP598 (0.002312)
147. PubchemFP0 (0.002308)
148. PubchemFP491 (0.002284)
149. PubchemFP14 (0.002280)
150. PubchemFP503 (0.002265)
151. PubchemFP521 (0.002265)
152. PubchemFP755 (0.002264)
153. PubchemFP300 (0.002253)
154. PubchemFP714 (0.002251)
155. PubchemFP419 (0.002218)
156. PubchemFP364 (0.002218)
157. PubchemFP11 (0.002203)
158. PubchemFP285 (0.002169)
159. PubchemFP356 (0.002156)
160. PubchemFP586 (0.002130)
161. PubchemFP38 (0.002122)
162. PubchemFP580 (0.002105)
163. PubchemFP567 (0.002088)
164. PubchemFP590 (0.002052)
165. PubchemFP450 (0.002032)
166. PubchemFP430 (0.002030)
167. PubchemFP390 (0.002029)
168. PubchemFP213 (0.002010)
169. PubchemFP259 (0.001991)
170. PubchemFP150 (0.001979)
171. PubchemFP597 (0.001952)
172. PubchemFP13 (0.001941)
173. PubchemFP615 (0.001935)
174. PubchemFP446 (0.001914)
175. PubchemFP340 (0.001902)
176. PubchemFP487 (0.001900)
177. PubchemFP821 (0.001899)
178. PubchemFP445 (0.001867)
179. PubchemFP637 (0.001866)
180. PubchemFP695 (0.001864)
181. PubchemFP351 (0.001852)
182. PubchemFP819 (0.001845)
183. PubchemFP256 (0.001831)
184. PubchemFP434 (0.001826)
185. PubchemFP515 (0.001810)
186. PubchemFP357 (0.001809)
187. PubchemFP437 (0.001806)
188. PubchemFP283 (0.001805)
189. PubchemFP662 (0.001798)
190. PubchemFP183 (0.001792)
191. PubchemFP682 (0.001789)
192. PubchemFP343 (0.001786)
193. PubchemFP576 (0.001778)
194. PubchemFP377 (0.001774)
195. PubchemFP431 (0.001772)
196. PubchemFP824 (0.001772)
197. PubchemFP638 (0.001759)
198. PubchemFP435 (0.001748)
199. PubchemFP577 (0.001738)
200. PubchemFP703 (0.001734)
201. PubchemFP416 (0.001734)
202. PubchemFP305 (0.001722)
203. PubchemFP658 (0.001722)
204. PubchemFP187 (0.001709)
205. PubchemFP371 (0.001704)
206. PubchemFP630 (0.001698)
207. PubchemFP599 (0.001696)
208. PubchemFP613 (0.001687)
209. PubchemFP544 (0.001687)
210. PubchemFP666 (0.001685)
211. PubchemFP672 (0.001682)
212. PubchemFP594 (0.001674)
213. PubchemFP761 (0.001668)
214. PubchemFP663 (0.001667)
215. PubchemFP716 (0.001659)
216. PubchemFP756 (0.001653)
217. PubchemFP442 (0.001650)
218. PubchemFP476 (0.001636)
219. PubchemFP360 (0.001636)
220. PubchemFP301 (0.001636)
221. PubchemFP549 (0.001630)
222. PubchemFP538 (0.001594)
223. PubchemFP329 (0.001593)
224. PubchemFP713 (0.001590)
225. PubchemFP258 (0.001584)
226. PubchemFP21 (0.001582)
227. PubchemFP395 (0.001578)
228. PubchemFP353 (0.001573)
229. PubchemFP758 (0.001571)
230. PubchemFP633 (0.001568)
231. PubchemFP432 (0.001568)
232. PubchemFP642 (0.001568)
233. PubchemFP537 (0.001563)
234. PubchemFP581 (0.001558)
235. PubchemFP396 (0.001554)
236. PubchemFP604 (0.001551)
237. PubchemFP216 (0.001544)
238. PubchemFP462 (0.001541)
239. PubchemFP412 (0.001529)
240. PubchemFP689 (0.001524)
241. PubchemFP729 (0.001524)
242. PubchemFP555 (0.001524)
243. PubchemFP792 (0.001523)
244. PubchemFP683 (0.001500)
245. PubchemFP641 (0.001492)
246. PubchemFP592 (0.001488)
247. PubchemFP507 (0.001484)
248. PubchemFP628 (0.001483)
249. PubchemFP493 (0.001468)
250. PubchemFP449 (0.001466)
251. PubchemFP144 (0.001459)
252. PubchemFP605 (0.001458)
253. PubchemFP681 (0.001452)
254. PubchemFP667 (0.001451)
255. PubchemFP607 (0.001435)
256. PubchemFP438 (0.001413)
257. PubchemFP822 (0.001405)
258. PubchemFP780 (0.001404)
259. PubchemFP717 (0.001403)
260. PubchemFP519 (0.001400)
261. PubchemFP539 (0.001398)
262. PubchemFP664 (0.001396)
263. PubchemFP759 (0.001392)
264. PubchemFP573 (0.001376)
265. PubchemFP536 (0.001375)
266. PubchemFP564 (0.001372)
267. PubchemFP370 (0.001372)
268. PubchemFP149 (0.001370)
269. PubchemFP596 (0.001367)
270. PubchemFP626 (0.001362)
271. PubchemFP421 (0.001361)
272. PubchemFP631 (0.001349)
273. PubchemFP589 (0.001349)
274. PubchemFP644 (0.001344)
275. PubchemFP685 (0.001333)
276. PubchemFP25 (0.001324)
277. PubchemFP379 (0.001323)
278. PubchemFP657 (0.001316)
279. PubchemFP585 (0.001312)
280. PubchemFP623 (0.001309)
281. PubchemFP565 (0.001308)
282. PubchemFP618 (0.001300)
283. PubchemFP372 (0.001287)
284. PubchemFP601 (0.001286)
285. PubchemFP619 (0.001274)
286. PubchemFP148 (0.001266)
287. PubchemFP495 (0.001263)
288. PubchemFP647 (0.001260)
289. PubchemFP403 (0.001255)
290. PubchemFP461 (0.001254)
291. PubchemFP382 (0.001247)
292. PubchemFP551 (0.001242)
293. PubchemFP548 (0.001237)
294. PubchemFP115 (0.001237)
295. PubchemFP506 (0.001230)
296. PubchemFP261 (0.001229)
297. PubchemFP482 (0.001226)
298. PubchemFP386 (0.001222)
299. PubchemFP34 (0.001221)
300. PubchemFP600 (0.001215)
301. PubchemFP655 (0.001214)
302. PubchemFP472 (0.001212)
303. PubchemFP484 (0.001207)
304. PubchemFP116 (0.001207)
305. PubchemFP621 (0.001203)
306. PubchemFP542 (0.001200)
307. PubchemFP441 (0.001188)
308. PubchemFP359 (0.001186)
309. PubchemFP153 (0.001177)
310. PubchemFP215 (0.001177)
311. PubchemFP189 (0.001175)
312. PubchemFP545 (0.001169)
313. PubchemFP574 (0.001164)
314. PubchemFP620 (0.001161)
315. PubchemFP514 (0.001161)
316. PubchemFP665 (0.001160)
317. PubchemFP632 (0.001147)
318. PubchemFP813 (0.001143)
319. PubchemFP750 (0.001139)
320. PubchemFP358 (0.001137)
321. PubchemFP200 (0.001134)
322. PubchemFP830 (0.001134)
323. PubchemFP178 (0.001129)
324. PubchemFP767 (0.001127)
325. PubchemFP606 (0.001127)
326. PubchemFP488 (0.001122)
327. PubchemFP376 (0.001120)
328. PubchemFP541 (0.001117)
329. PubchemFP498 (0.001115)
330. PubchemFP651 (0.001113)
331. PubchemFP530 (0.001095)
332. PubchemFP547 (0.001087)
333. PubchemFP707 (0.001084)
334. PubchemFP381 (0.001081)
335. PubchemFP523 (0.001065)
336. PubchemFP387 (0.001064)
337. PubchemFP602 (0.001056)
338. PubchemFP330 (0.001047)
339. PubchemFP603 (0.001043)
340. PubchemFP670 (0.001043)
341. PubchemFP509 (0.001041)
342. PubchemFP675 (0.001039)
343. PubchemFP677 (0.001019)
344. PubchemFP584 (0.001018)
345. PubchemFP578 (0.001017)
346. PubchemFP384 (0.001016)
347. PubchemFP533 (0.001016)
348. PubchemFP634 (0.001015)
349. PubchemFP668 (0.001012)
350. PubchemFP517 (0.000998)
351. PubchemFP336 (0.000994)
352. PubchemFP524 (0.000990)
353. PubchemFP389 (0.000982)
354. PubchemFP640 (0.000974)
355. PubchemFP400 (0.000974)
356. PubchemFP504 (0.000970)
357. PubchemFP556 (0.000966)
358. PubchemFP378 (0.000963)
359. PubchemFP490 (0.000962)
360. PubchemFP467 (0.000961)
361. PubchemFP868 (0.000953)
362. PubchemFP570 (0.000950)
363. PubchemFP399 (0.000950)
364. PubchemFP422 (0.000947)
365. PubchemFP608 (0.000945)
366. PubchemFP595 (0.000944)
367. PubchemFP397 (0.000929)
368. PubchemFP460 (0.000925)
369. PubchemFP575 (0.000924)
370. PubchemFP527 (0.000922)
371. PubchemFP508 (0.000918)
372. PubchemFP427 (0.000917)
373. PubchemFP499 (0.000915)
374. PubchemFP417 (0.000911)
375. PubchemFP255 (0.000910)
376. PubchemFP355 (0.000903)
377. PubchemFP770 (0.000890)
378. PubchemFP678 (0.000887)
379. PubchemFP660 (0.000879)
380. PubchemFP833 (0.000874)
381. PubchemFP470 (0.000874)
382. PubchemFP520 (0.000872)
383. PubchemFP531 (0.000871)
384. PubchemFP552 (0.000869)
385. PubchemFP489 (0.000866)
386. PubchemFP563 (0.000865)
387. PubchemFP661 (0.000863)
388. PubchemFP801 (0.000851)
389. PubchemFP738 (0.000848)
390. PubchemFP624 (0.000846)
391. PubchemFP448 (0.000841)
392. PubchemFP861 (0.000833)
393. PubchemFP383 (0.000829)
394. PubchemFP500 (0.000828)
395. PubchemFP572 (0.000827)
396. PubchemFP705 (0.000826)
397. PubchemFP840 (0.000813)
398. PubchemFP475 (0.000812)
399. PubchemFP423 (0.000797)
400. PubchemFP152 (0.000793)
401. PubchemFP477 (0.000790)
402. PubchemFP588 (0.000782)
403. PubchemFP522 (0.000767)
404. PubchemFP860 (0.000761)
405. PubchemFP429 (0.000761)
406. PubchemFP532 (0.000761)
407. PubchemFP284 (0.000758)
408. PubchemFP454 (0.000756)
409. PubchemFP394 (0.000752)
410. PubchemFP398 (0.000750)
411. PubchemFP616 (0.000749)
412. PubchemFP182 (0.000747)
413. PubchemFP693 (0.000740)
414. PubchemFP486 (0.000739)
415. PubchemFP826 (0.000738)
416. PubchemFP9 (0.000737)
417. PubchemFP485 (0.000716)
418. PubchemFP471 (0.000709)
419. PubchemFP784 (0.000703)
420. PubchemFP388 (0.000697)
